Reference,DOI,MOF contained,True Water Stability,Justification Sentence,
1,10.1038/s41586-019-1798-7,Al-PMOF/m8o66,Stable,The capture capacity of Al-PMOF for a mixture of CO2/N2 under dry- and humid-conditions was tested and the results confirm the predictions of the simulations: humidity in the flue gases has only a minimal influence on the capture capacity of Al-PMOF.,
1,10.1038/s41586-019-1798-7,Al-PyrMOF/m8o67,Stable,"The capture capacity of Al-PyrMOF for a mixture of CO2/N2 under dry- and humid-conditions was tested and the results confirm the predictions of the simulations: for Al-PyrMOF the capture capacity is in fact enhanced. Furthermore, repeated cycling does not result in degradation of the material or a change in separation performance.",
1,10.1038/s41586-019-1798-7,UiO-66-NH2,Not provided,Not provided,
1,10.1038/s41586-019-1798-7,m8o71,Unstable,"Conversely, m8o71 completely loses its CO2 capacity at 60% relative humidity (Fig. 2b).",
2,10.1039/c0dt00999g,[Zn4(dmf)(ur)2(ndc)4],Stable,"The high stability of the guest-free metal–organic framework was further confirmed by N2 sorption isotherm at 77 K for 2 (Fig. 4), which shows type I behavior with small hysteresis and thus ensuring permanent microporosity of the bulk sample.",
2,10.1039/c0dt00999g,[Zn4(dmf)(ur)2(ndc)4].6C6H6,Not provided,Not provided,
2,10.1039/c0dt00999g,[Zn4(dmf)(ur)2(ndc)4].4Fe(C5H5)2,Not provided,Not provided,
2,10.1039/c0dt00999g,[Zn4(dmf)(ur)2(ndc)4].5DMF.H2O,Stable,The solvent molecules can be removed from this MOF without loss of the sample’s crystallinity. The resulting permanently porous framework demonstrates a reversible gas sorption as well as an uptake of various guests.,
3,10.1039/c3sc22222e,"MCF-18(L,M)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L1,Co)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L1,Ni)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L2,Co)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L2,Mg)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L2,Ni)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L2,Fe)",Not provided,Not provided,
3,10.1039/c3sc22222e,"MCF-18(L3,Ni)",Not provided,Not provided,
3,10.1039/c3sc22222e,MIL-88,Not provided,Not provided,
3,10.1039/c3sc22222e,MIL-88D,Not provided,Not provided,
3,10.1039/c3sc22222e,MIL-88B,Not provided,Not provided,
4,10.1021/cg070100h,C38H42Cl8Cu1-N8O14,Not provided,Not provided,
4,10.1021/cg070100h,C38H44Cl2Cu1-N8O16,Not provided,Not provided,
4,10.1021/cg070100h,C35H44Cl2Cu1-N8O16,Not provided,Not provided,
4,10.1021/cg070100h,C28H32Cu1F12-N8O6P2,Not provided,Not provided,
4,10.1021/cg070100h,C50H55Cl2Cu1-N11O20,Not provided,Not provided,
4,10.1021/cg070100h,C34H48Cl2Cu1-N8O16,Not provided,Not provided,
4,10.1021/cg070100h,C32H36Cu1F12-N8O10P2,Not provided,Not provided,
4,10.1021/cg070100h,C32H44Cl2Cu1-N8O16,Not provided,Not provided,
4,10.1021/cg070100h,C32H46Cu1-N10O15,Not provided,Not provided,
4,10.1021/cg070100h,C32H40Cu1F12-N8 O6P2,Not provided,Not provided,
4,10.1021/cg070100h,C28H34Cu1F12-N8O7P2,Not provided,Not provided,
4,10.1021/cg070100h,C32H44Cl1Cu1F6-N8O12P1,Not provided,Not provided,
5,10.1021/cg400096e,Y(BTC)(H2O).4.3H2O,Not provided,Not provided,
5,10.1021/cg400096e,[Y2(TPBTM)(H2O)2].xG (NJU-Bai11),Not provided,Not provided,
6,10.1007/s10904-013-9884-z,[Cd2Ca2(PBDC)(H2O)2(e-urea)(DMF)]n2n(DMF),Not provided,Not provided,
7,10.1002/zaac.201000044,Ba2(EDTA),Not provided,Not provided,
7,10.1002/zaac.201000044,Ba2(EDTA).2.5H2O,Not provided,Not provided,
8,10.1016/j.poly.2012.02.006,[Mg(IPA)(EtOH)],Not provided,Not provided,
8,10.1016/j.poly.2012.02.006,[Mg4(IPA)3(HCOO)2(DMF)2],Unstable,Compound 1 dissolved completely in pure water and in all solvent mixtures that included water.,
9,10.1021/ja907023c,{[Co4(dpdo)12][H(H2O)21(CH3CN)12][PMo12O40]3}∞,Not provided,Not provided,
9,10.1021/ja907023c,{[Co 4(dpdo) 12][H(H 2O)21(CH 3CN) 12][PW 12O40]3}∞,Not provided,Not provided,
10,10.1016/j.inoche.2007.04.031,{NiII(Me 6-[14]ane-N 4)}2[WIV(CN) 8]Æ6H2O,Not provided,Not provided,
11,10.1039/b904387j,"[Zn(1,2-BAB)(Phen)]8$(G-I)4(H2O)",Not provided,Not provided,
